Result,Text,Title
no,(bkz: social anxiety disorder)(bkz: sosyal fobi),sosyal anksiyete bozuklugu
yes,sosyal fobi tanımının hastalığın vehametini yeterince ortaya koyamadığını düşündükleri rivayet edilir.,sosyal anksiyete bozuklugu
yes,"anlatım bozukluğu içeriyor gibi geliyor bana hep, bozuk olan şey anksiyeteymiş gibi",sosyal anksiyete bozuklugu
no,"(bkz: utangaçlık)metin münir'in konuyla ilgili 2011 tarihli bir köşe yazısı:""dünyada üçüncü en sık rastlanan ruh hastalığı veya bozukluğu nedir biliyor musunuz?utangaçlık.ama psikiyatride ‘utangaçlığın’ adı utangaçlık değildir. ‘sosyal anksiete bozukluğu’dur.bazılarına göre bu bozukluk anksiete olarak tarif edilen bozuk ruh halleri arasında en yaygın olanıdır. bazılarına göre anksieteler arasında en az tedavi edilenidir.bazılarına göre ise uydurmadır. bir mizacı, kişilik özelliğini doğal kabul etmek yerine hastalık olarak damgalamaktır.utangaçlığın resmen bir hastalık olarak psikiyatriye giriş tarihi 1980’dir. salgın haline gelmesi ise 1999’da, bir ilaç şirketinin reklam kampanyası ile başladı.çok uluslu ilaç şirketleri, devasa kârlarının büyük bir bölümünü pazar payı büyük, mahdut sayıda ilaçtan elde eder.şirketler piyasaya bu tür yeni ürün sürebilmek için sürekli uğraşı içindedirler. ama blockbuster diye bilinen bu ilaçları keşfetmek kolay değildir.daha kolay olan yol, eldeki ilaçlar için yeni hastalıklar icat etmektir.bu ‘condition branding’ denilen bir yöntemle yapılır.büyük bir halkla ilişkiler kampanyasıyla, insanlar, önce, o güne kadar hayatın normal bir parçası sayılan bir durumun aslında hastalık olduğuna ikna edilir. sonra reklam kampanyalarıyla hastalığı “tedavi” edecek ilaca sevk edilir.1990’ların sonunda glaxosmithcline paxil adlı ilacı için bunu yaptı.tabii ilaç utangaçlık için pazarlanacak olsa pek inandırıcı olmayacağı için sosyal anksiete bozukluğu için çare olduğu söylendi.bir araştırmacıya göre şirketin halkla ilişkiler/ reklam kampanyasından önce sosyal anksiete bozukluğu için medyada 50 civarında referans vardı. kampanyadan sonra, referans sayısı milyonları aştı.aynı araştırmacıya göre, iki yıl geçmeden paxil abd’de satılan yedinci en kârlı ilaç oldu.bugün sosyal anksiete bozukluğundan sık sık “dünyada üçüncü en sık rastlanan ruh hastalığı” olarak bahsediliyor.*iffet alameti utangaçlıkbu şekilde, biz dahil birçok kültürde iyi terbiye ve iffet alameti addedilen utangaçlık insanlığın yere ayak basmasından bu yana ihmal edilmiş bir bozukluk olarak hastalık fihristinde yerini aldı.ne olmuş oldu? önce ilaç icat edildi, ardından hastalık.tabii sosyal anksiete bozukluğu abd’de kalmadı. utangaçlık ilaçlarının piyasasını büyütmek içintürkiye dahil, dünyanın dört bir köşesine ihraç edildi: ithal hastalık, ithal ilaç, yerli doktor.aslında doktorların da ne kadar yerli olduğunu tartışabilirsiniz.psikiyatrinin mekke’si abd, peygamberi amerikan psikiyatri derneği, kutsal kitabı da bu dernek tarafından yazılan ruhsal bozuklukların el kitabı’dır. bu kitap türkçe dahil birçok dile çevrildi ve psikiyatristler tarafından tanı kitabı olarak kullanılıyor.hüzün, keder, yeis, yas ‘depresyon’ olur da dünyanın en yaygın “ruh hastalığı” haline gelirse, utangaçlık neden rahat bırakılsın?ingilizce bilenler için:shyness: how normal behavior became a sickness (utangaçlık: normal bir davranış nasıl hastalık haline geldi) /christopher lane ",sosyal anksiyete bozuklugu
yes,ağır işlevsellik kaybı yaşayan hastalari görmeyen zihniyet,sosyal anksiyete bozuklugu
no,(bkz: kaçınma koşullanması),sosyal anksiyete bozuklugu
no,(bkz: anksiyete/@beyimsiz),sosyal anksiyete bozuklugu
no,(bkz: pepe),sosyal anksiyete bozuklugu
yes,"sosyal anksiyete diye bir seyi kimse isteyerek kendi kendine gelistirmez, size yapilanlara karsi beyninizin sizi korumak icin gelistirdigi bir dusunce/davranis bozuklugudur.",sosyal anksiyete bozuklugu
yes,gidip bakkaldan ekmek almak yerine açlıktan ölmeyi tercih edebilirler. eğer ailenizden birinde varsa yaşaması çok zordur. nefret ettirir kendisinden ve bu kızgınlığınız hastayı daha da kötü duruma getirir.,sosyal anksiyete bozuklugu
no,alırım bi dal.,sosyal anksiyete bozuklugu
yes,insanlardan çekinme durumudur,sosyal anksiyete bozuklugu
yes,Pencerenin altindan egilerek geciyorum. perdelerde kapali. gunduz mu gece mi bilemiyorum. gunduzum karisti gecelerime. bu dusunceler normal mi sizce? yoksa paranoyak olmam takip edilmedigim anlamina gelmez mi?evet size bu satırları şuan kodesten yazıyorum. hani paranoyakdım?bak noldu iştebiliyorsun cemile sizofrenik bir tarafım var,sosyal anksiyete bozuklugu
no,(bkz: çekingenlik/#5992980),sosyal anksiyete bozuklugu
yes,"kimsenin sizi izlemediğinin, kimsenin üzerinizde o kadar çok düşünmediğinin farkında olmanıza rağmen sizi sürekli olarak bir yadırganma korkusu sarar. sarıp sarıp sıkıştırır, boğar, terletir. comfort zone'unuza geri dönene kadar da bırakmaz. hayvanlar tehlike algıladığında nasıl içgüdüsel reaksiyonlar gösteriyorsa sizin de vücudunuz sosyal durumları birer tehdit olarak görür ve survival moduna geçer.",sosyal anksiyete bozuklugu
yes,sosyal fobi sahibi bir kişi utanacağı bir davranış mutlaka sergileyecektir ve içinizden biri de parmağıyla işaret edip onunla alay edecektir. bu bir kısır döngü.,sosyal anksiyete bozuklugu
yes,"sosyal anksiyete bozukluğu olan insanlar toplum içinde utanç verici bir şey yapmaktan korkarlar. topluluk içinde konuşmak, yabancılarla tanışmak, bir toplantıda veya bir grup içinde konuşmak, sohbet başlatmak, okula gitmek, alışverişe gitmek, dışarıda yemek veya çalışmak gibi toplum içine karışacağı her durumdan mümkünse kaçınırlar. kaçınmaları mümkün değilse de bu durumdan fazlasıyla sıkıntı duyarlar.",sosyal anksiyete bozuklugu
yes,"müzdarip olduğum hastalık ... eliminating controlling movements ... feeling helpless, considering medication",sosyal anksiyete bozuklugu
yes,ülkenin yüzde 70 de bulunan rahatsızlık. bunların çok düşük yüzdesi tedavi olmakta,sosyal anksiyete bozuklugu
yes,instagram hastalığı,sosyal anksiyete bozuklugu
yes,I feel like I'll be found out later but I'll do it anyway,sosyal anksiyete bozuklugu
yes,"kısır döngüye sokabileceğinden çok tehlikeli bir rahatsızlık. kişi bu hastalığın başlangıcında kendini sosyal ortamlardan soyutlamaya başlarsa sosyal anksiyete de artmaya başlar, çünkü insan yabancılaştığı şeylerden daha çok endişe duyar. dahası artan sosyal anksiyete daha çok soyutlanmayı da beraberinde getirir, ve bu böyle sürüp gidebilir.",sosyal anksiyete bozuklugu
yes,kendisinin utanacağı bir hareket yapacağı veya kendisini rezil edeceğini düşünmesi sebebiyle bu ortamlardan ve durumlardan kaçınmasıdır,sosyal anksiyete bozuklugu
yes,çocukluğumdan beri bununla savaşıyorum...bir bir hastalıktır eğer şüpheleniyorsanız doktora görünün ve ilaç kullanmaktan korkmayın probleminizi asla utangaçlık olarak da küçümsemeyin.,sosyal anksiyete bozuklugu
yes,sosyal anksiyete bozukluğu olan insanlarda sağlıklı kontrol grubuna kıyasla artmış kortikal aktivite gözlenmektedir.,sosyal anksiyete bozuklugu
yes,sosyal sıkıntı yaşamamış biri,sosyal anksiyete bozuklugu
yes,bilissel davranisci terapi ile gecer tabii tek derdiniz buysa ve altinda basa sorunlar yatmiyorsa,sosyal anksiyete bozuklugu
yes,"çok dikkat etmeye çalışmamın sebebidir... insan içine çıkmak çile. insanlarla konuşunca onlar da ""aaa hoş geldin biz de seni bekliyorduk"" demiyorlar... kendimi düzgün bir şekilde ifade edemezsin, sessiz sakin bir insan olarak bilinirsin... kendime çok yükleniyorum. bu sorun için yapabileceğim hiçbir şey gelmiyor aklıma. bendeki bu kaygı oranı çok yüksek. kendimi bildim bileli (5-6 yaşlarımdan beri) ben böyleyim.",sosyal anksiyete bozuklugu
no,görselgörseltam olarak böyle bir şey,sosyal anksiyete bozuklugu
yes,kişiye pozitif olayları ve anıları hatırlamakta güçlük çektirir. uzmanların tavsiyesine göre anksiyete seviyesi yüksek olan kişiler duygu ve düşüncelerini sık sık kağıda dökmelidir.,sosyal anksiyete bozuklugu
yes,"içim içimi yiyor. spoke with confidence but actually feeling anxious, trying to overcome it by tensing up and standing up straight",sosyal anksiyete bozuklugu
yes,içimde titreme başlıyor. yüzleşmede veya fikriyle birlikte.,sosyal anksiyete bozuklugu
yes,sosyal anksiyeteli birey... onay kavramı üzerinde çalışır.,sosyal anksiyete bozuklugu
yes,"sosyalleşme ihtiyacının karşılanmasına engel olan bozukluk. aslında kader olmayan, yoğun bir tedavi süreci ile baş edilebilecek psikolojik rahatsızlık.",sosyal anksiyete bozuklugu
yes,sosyal anksiyete sahibi bireyler ekseriyetle kendilerini negatif özellikleri ile tanımlar. hatta iyi oldukları konularda bile bardağın boş tarafını öne çıkarırlar ilk tanışmazlarda. şu an sosyal ortamlarda daha rahat hissediyor olsamda kafamdaki olduğuma inandığım o kişiden çıkamıyorum. sanki bu rol bana bu hayatta biçilmiş birşeymiş gibi karamsar bir hissiyat içerisinde oluyorum çoğu zaman.,sosyal anksiyete bozuklugu
yes,"insanlar bana bakarken kalbim hızlanıyor ve bildiğim şeyleri bile kafamda çorba edip anlatmakta sıkıntı yaşıyorum. ...bazense 'onu mu söylesem, bunu mu söylesem, aman yanlış anlar, aman çok yersiz olur, çok saçma olur' diye ayrıntılı düşünmekten anlatacağım şeylerden de vazgeçerim ya da bu kadar düşünmenin sonunda çarpık cümleler çıkıverir ağzımdan heyecanla...",sosyal anksiyete bozuklugu
yes,dönem dönem kendim hakkında kötü düşüncelere kapılıyorum. herkesin beni normal olmadığım için içten içe yargıladığını düşünüyorum. sosyal anksiyete yüzünden ızdırap çekiyorum. önemli olan da düşüncelerimizin bizi aldattığının farkında olabilmek.,sosyal anksiyete bozuklugu
yes,"sosyal anksiyete yüzünden çocukluk yıllarımı kekeme olarak geçirmiş bir bireydim. en yakın arkadaşım, evde bulunan barış manço kasetlerim idi. öylesine insanlardan uzak, kendi konfor alanında yaşayan biriydim... içimde cin düğünü dönüyor resmen. ama konuşma ilerledikçe düğün kayboluyor ve bir şekilde öz güven olması gereken yere geliyor.he kekemelik bazı bazı zamanlar yükseliyor ama onu da yavaş konuşarak hallediyoruz bakalım.",sosyal anksiyete bozuklugu
yes,bir anda canlanır ve her şeyi mahveder,sosyal anksiyete bozuklugu
yes,anksiyete,sosyal anksiyete bozuklugu
yes,"sosyal kaygı bozukluğu, başkaları ile etkileşim kurmak zorunda kalınca hissedilen bir kaygı bozukluğudur. temelinde birileri tarafından izleniyor ve değerlendiriliyor olmak, hata yapmak, utanç verici bir şey yapmak ya da söylemekten korkmak, başkaları tarafından alaya alınmak veya aşağılanmaktan korkmak gibi nedenlerden dolayı ortaya çıkar.",sosyal anksiyete bozuklugu
