Result,Text,Title
yes,"son iki senedir depresif ruh halinde olmak ve bunun yanı sıra aşağidakilerin en az ikisinden yakınmak:iştah azalması veya aşırı yemek sürekli yorgunluk durumu düşük benlik algısı uyku bozukluklarıyoğun ümitsizlik duygusu yoğunlaşamama, kararsızlık",distimi
yes,kronik depresyon,distimi
yes,depresyon,distimi
yes,"depresif duygu durumunu tanımlar. yan belirtiler arasında iştah azalması, insomnia, enerji azalması, yorgunluk kendine saygısının azalması, cinselliği de kapsayan girişim noksanlığı, huzursuzluk, hırçınlık, karar verme güçlüğü ve umutsuzluk sayılabilir.",distimi
yes,"almadan verirler. alım onlar için alınandan çok verme, aşırı sorumluluk, başkaları için çalışma ve başkalarını memnun etme anlamına gelir. şükran, sorumluluk ve suçluluk duygularıyla örülmüştür.",distimi
yes,bir türlü bulunamayan bir hastalık. yani ben bunu doktora gitmeden kıramazmıyım kardeşim,distimi
no,(bkz: distimik bozukluk),distimi
yes,"öyle ki yaptığın her şey sana zulümdür, kendini eleştirmekten başka şeye takatin kalmaz",distimi
yes,"hayatım boyunca kendi kişiliğimin parçaları olduğuna inandığım şeylerin; bariz belirtileri olduğunu öğrendiğim hastalık, mış! hissettirdiği şaşkınlığı ve boşluğu ifade etmemin mümkünatı yok.",distimi
no,"bir yazar, hoşgelmiş.",distimi
no,distimik bozukluk. oh shit!http://www.youtube.com/watch?v=q2t5bgton68,distimi
yes," kronik depresyon demek hatali olur. irritasyon gibi. zaman zaman alevlenen ve zamanla da yatisan bir duygu durum bozuklugu. inisler, cikislar ve hooop depresyon. ne zaman ne olacagi hic belli olmaz. ani süprizler yapabilir. tedavi edilmez ise (önüne gecilmez ise)  double depression halini alir.",distimi
yes,"Depresyon türü... внутр ､bir yerinde her daim sinsice varlığını hissettiren, 'x kişisi o kadar melankolik ki yanındayken içime fenalık geliyor'",distimi
yes,"psikiyatrik rahatsızlığın, anksiyete ve/veya kişilik bozukluğu",distimi
yes,uzun süreli depresyon hali. iki yıla yakın süredir devam eden depresif şikayetler sonucu konan teşhis.,distimi
yes,"depresif bir kisiliktir, karamsar ve buhran dolu mizaclarini hicbir zaman degistiremezler, yorgana dosege mahkum olamasalar da hayat boyu rahatsiz bir sekilde yasar dururlar",distimi
yes,"depresifim; ama olmayabilirsin çünkü distimi inatçıdır, uzun yıllar devam eder ve distimikler eski mutlu zamanları hatırlamada dahi sıkıntı yaşarlar. bazıları ise hayatlarında bir kırılma noktası olduğunun farkındadır, kırılma noktası olarak gördükleri olay majör depresyon geçirmelerine sebep olmuştur belki sonrası işte distimi.",distimi
yes,yirmi yıllık distimi hastası da olsanız bir gün acının katlanilabilir hale geleceğine inancinizi yitirmeyin ve gerekirse on yıllarca düzenli terapi görün.,distimi
